Vertical|Site|Pub Date|Title|Author|Content Type|Content Source|Cost|Effort|Total Cost|30 Day Views|60 Day Views|90 Day Views|120 Day Views|150 Day Views|180 Day Views|210 Day Views|240 Day Views|270 Day Views|Lifetime Views|Article Age
Networking|Enterprise Networking Planet|2010-05-28|FCC to Take Up Broadband Reclassification in June|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|255|7|0|3|1|0|0|0|0|266.0|284
Networking|Enterprise Networking Planet|2010-05-28|Jokes, Jeers in a Look Back at 25 Years of .Com|David Needle|News|InternetNews|0.0|0.25|10.0|347|2|2|0|3|2|1|1|2|360.0|284
Networking|Enterprise Networking Planet|2010-05-27|Ethernet Switch, Router Markets Rebound|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|317|43|41|38|21|13|7|7|11|498.0|285
Networking|Enterprise Networking Planet|2010-05-26|Meru Introduces Four New Service Assurance Apps|Lisa Phifer|News|Freelance|300.0|0.5|320.0|73|3|0|1|0|0|0|0|0|77.0|286
Networking|Enterprise Networking Planet|2010-05-25|Top FCC Lawyer Looks Ahead to Rocky Road for Broadband Plan|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|215|8|3|7|1|0|0|1|1|236.0|287
Networking|Enterprise Networking Planet|2010-05-25|Cisco Connected Grid Router, Switch Debut for Smart Grid|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|237|26|12|14|9|4|1|4|5|312.0|287
Networking|Enterprise Networking Planet|2010-05-24|Apple Security Isn't a Sure Bet|Paul Rubens|Trends|Freelance|425.0|0.5|445.0|1838|35|43|44|38|26|9|13|10|2056.0|288
Networking|Enterprise Networking Planet|2010-05-21|Judge Gives Corrupt ISP the Digital Death Penalty|Larry Barrett|News|InternetNews|0.0|0.1|4.0|1516|6|5|3|4|0|1|1|1|1537.0|291
Networking|Enterprise Networking Planet|2010-05-20|Novell Expands Identity Manager to the Cloud|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|224|26|10|23|12|12|17|4|2|330.0|292
Networking|Enterprise Networking Planet|2010-05-19|Cisco, CA Partner on Datacenter Management|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|62|1|0|0|0|0|1|2|1|67.0|293
Networking|Enterprise Networking Planet|2010-05-18|Ten Ways to Protect Your Network From Insider Threats|Paul Rubens|Top 10|Editor-Written|425.0|0.5|445.0|417|67|88|61|74|42|48|26|47|870.0|294
Networking|Enterprise Networking Planet|2010-05-17|Juniper Expands Routing, Switching and Software Portfolio|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|270|27|15|28|25|17|11|12|6|411.0|295
Networking|Enterprise Networking Planet|2010-05-14|House Lawmakers Press to Expand U.S. Broadband|Kenneth Corbin|News|InternetNews|0.0|0.1|4.0|391|4|2|1|2|2|2|1|6|411.0|298
Networking|Enterprise Networking Planet|2010-05-13|Cisco's Strongest Quarter Ever Built on New Gear|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|348|13|10|3|5|6|3|1|0|389.0|299
Networking|Enterprise Networking Planet|2010-05-13|NetFlow Gives International Law Firm Network Visibility|Drew Robb|Trends|Freelance|300.0|1.0|340.0|110|31|21|11|10|12|15|6|2|218.0|299
Networking|Enterprise Networking Planet|2010-05-12|Cisco's Third Quarter: Busy and Profitable?|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|265|4|1|1|1|0|0|0|1|273.0|300
Networking|Enterprise Networking Planet|2010-05-11|House Republican Seeks to Block FCC's Net Neutrality Efforts|Kenneth Corbin|News|InternetNews|0.0|0.1|4.0|317|12|3|0|0|1|0|2|1|337.0|301
Networking|Enterprise Networking Planet|2010-05-11|The IT Security Bubble Has Popped|Sonny Discini|Opinion|Repurp|0.0|0.25|10.0|93|21|18|6|13|5|2|1|3|166.0|301
Networking|Enterprise Networking Planet|2010-05-10|Aruba Acquires Azalea for Wi-Fi Enterprise Mesh|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|286|10|9|8|3|5|2|3|1|339.0|302
Networking|Enterprise Networking Planet|2010-05-10|Wi-Fi Networking Headed for 60GHz, Gigabit Speeds|Sean Michael Kerner|Trends|InternetNews|0.0|0.1|4.0|323|68|40|33|64|41|70|76|50|802.0|302
Networking|Enterprise Networking Planet|2010-05-10|Unified Communications Demand Thorough Network Testing|No Author|Trends|Repurp|0.0|0.25|10.0|43|19|8|0|1|0|0|1|0|72.0|302
Networking|Enterprise Networking Planet|2010-05-07|First Full IDN Domain Names Now Online|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|746|15|18|7|11|12|5|3|3|828.0|305
Networking|Enterprise Networking Planet|2010-05-06|Entrepreneurial Ball State Goes WiMAX|Gerry Blackwell|Trends|Repurp|0.0|0.25|10.0|173|4|0|0|1|0|0|0|2|180.0|306
Networking|Enterprise Networking Planet|2010-05-05|Using Third-Party 802.1X Clients  on Windows, Linux or Mac|Eric Geier|Tutorial/Howto|Freelance|350.0|1.0|390.0|431|151|189|205|229|240|217|107|161|2115.0|307
Networking|Enterprise Networking Planet|2010-05-04|Red Hat Prefers to Be Choosy With Its Kernel Packages|Sean Michael Kerner|News|InternetNews|0.0|0.1|4.0|84|24|12|4|0|2|0|1|2|129.0|308
Networking|Enterprise Networking Planet|2010-05-03|Three Essential PowerShell 2.0 Remote Management Features|Jabez Gan|Tutorial/Howto|Freelance|300.0|2.0|380.0|1009|312|188|217|306|318|343|362|428|3812.0|309
Networking|Enterprise Networking Planet|2010-06-30|Exposing the Pipes at Pump: Managing Networking in a Virtual Environment|Drew Robb|Trends|Freelance|300.0|1.0|340.0|199|50|11|20|8|6|3|8|0|305.0|251
Networking|Enterprise Networking Planet|2010-06-29|Cisco Extends Smart Grid For Both Offices and Homes|Sean Michael Kerner|News|InternetNews|0.0|0.25|10.0|412|39|17|12|8|4|1|1|0|494.0|252
Networking|Enterprise Networking Planet|2010-06-29|Aerohive's Free Online Wi-Fi Planner Automates AP Placement|Lisa Phifer|News|Repurp|0.0|0.25|10.0|287|91|75|61|76|24|33|21|0|668.0|252
Networking|Enterprise Networking Planet|2010-06-28|White House Commits to Spectrum for Mobile Broadband|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|205|16|7|3|5|1|2|9|0|248.0|253
Networking|Enterprise Networking Planet|2010-06-28|ICANN Approves Chinese-Language Domains, .XXX TLD|Kenneth Corbin|News|InternetNews|0.0|0.25|10.0|248|51|12|5|14|13|14|6|0|363.0|253
Networking|Enterprise Networking Planet|2010-06-25|Universities Responding to Obama Call for Improved Cybersecurity|Keith Vance|Trends|Repurp|0.0|0.25|10.0|55|1|0|0|1|0|0|1|0|58.0|256
Networking|Enterprise Networking Planet|2010-06-24|Gartner Confirms Cloud Trend to Tune of $148B by 2014|Larry Barrett|Trends|Repurp|0.0|0.25|10.0|209|23|18|23|27|29|28|28|0|385.0|257
Networking|Enterprise Networking Planet|2010-06-23|Installing and Configuring Windows Essential Business Server|Jabez Gan|Tutorial/Howto|Freelance|350.0|2.0|430.0|177|12|6|5|11|11|5|19|0|246.0|258
Networking|Enterprise Networking Planet|2010-06-23|AirWatch Beefs Up iOS Security for the Enterprise|David Needle|Product Review|InternetNews|0.0|0.25|10.0|78|12|7|10|10|9|6|3|0|135.0|258
