pub_date|title|site|editor|cost|source id|type id|effort|url
2010-05-26|Leverage SharePoint Search to Create a Department Directory|Sharepoint Briefing|Tom Dunlap|0.0||||http://www.sharepointbriefing.com/features/article.php/3884376
2010-05-20|Overview of SharePoint 2010 Web Databases|Sharepoint Briefing|Tom Dunlap|0.0||||http://www.sharepointbriefing.com/features/article.php/3883311
2010-05-11|SharePoint 2010 Web Compliancy|Sharepoint Briefing|Tom Dunlap|0.0||||http://www.sharepointbriefing.com/features/article.php/3881406
2010-05-01|SharePointBriefing.com Partners with Schools.com|Sharepoint Briefing|Tom Dunlap|0.0||||http://www.sharepointbriefing.com/spother/article.php/3880911
2010-05-25|Referencing External Configuration Files in .NET|DevX|Tom Dunlap|0.0||5|1.0|
2010-07-21|C# Programming: Context Menu on Windows Forms - Part 1|Code Guru|Rich Hein|0.0||||http://www.codeguru.com/csharp/.net/net_general/article.php/c17561
2010-09-30|Performance Point -- It's Not Just for BI Geeks Any More|Sharepoint Briefing|Tom Dunlap|0.0|||0.0|http://www.sharepointbriefing.com/features/article.php/3906296
2010-09-30|Quickly Create Charts in SharePoint 2010|Sharepoint Briefing|Tom Dunlap|0.0|||0.0|http://www.sharepointbriefing.com/features/article.php/3906281
2010-09-22|Create a Printer Friendly Page in Your SharePoint Sites|Sharepoint Briefing|Tom Dunlap|0.0|||0.0|http://www.sharepointbriefing.com/features/article.php/3904906
2010-09-10|Create Themes for SharePoint 2010 Using Word 2010|Sharepoint Briefing|Tom Dunlap|0.0|||0.0|http://www.sharepointbriefing.com/features/article.php/3903031
2010-09-22|Dispelling the Myth of Cloud Standards|Cloud Computing Portal|Mike Pastore|0.0|||0.0|http://cloudcomputing.internet.com/management/article.php/3904776
2010-09-14|Grid, HPC Cluster and Cloud - Part I, an Infrastructure Perspective|Cloud Computing Portal|Mike Pastore|0.0|||0.0|http://cloudcomputing.internet.com/networking_infrastructure/article.php/3903481
2010-09-14|Novell Aims to Manage Private Clouds|Cloud Computing Portal|Mike Pastore|0.0|||0.0|http://cloudcomputing.internet.com/private_cloud/article.php/3903476
2010-09-14|12 Questions to Ask About Optimizing Cloud Services|Cloud Computing Portal|Mike Pastore|0.0|||0.0|http://cloudcomputing.internet.com/management/article.php/3903471
2010-09-14|BI in the Cloud - Is It Just Pie in the Sky?|Cloud Computing Portal|Mike Pastore|0.0|||0.0|http://cloudcomputing.internet.com/applications/article.php/3903446
2010-10-29|Using Site-Level Workflows in SharePoint 2010|Sharepoint Briefing|Tom Dunlap|0.0|||0.0|http://www.sharepointbriefing.com/features/article.php/3910746
2010-10-29|Finding Great SharePoint Talent|Sharepoint Briefing|Tom Dunlap|0.0|||0.0|http://www.sharepointbriefing.com/features/article.php/3910676
2010-10-25|Building Killer Android Tablet Apps: Design and Development Tips|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/java/j2me/article.php/3909871
2010-10-22|Jetty Continuations: Push Your Java Server Beyond Its Scalability Limits|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/java/web/article.php/3909666
2010-10-21|Developer Bonanza? $250M sFund Aims to Grow Facebook, Social Web Apps|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/services/article.php/3909421
2010-10-20|Top Five Web Hosting Companies for Web Developers|HTML Goodies|Scott Clark|0.0|4||1.5|http://www.htmlgoodies.com/beyond/webmaster/article.php/3909271
2010-10-20|Building a Test Platform in the Cloud with Open Source Technologies|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/open/article.php/3909156
2010-10-19|Top 5 Rails Frameworks for Building Social Networks|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/lang/rubyrails/article.php/3908996
2010-10-18|Top 10 New Features in Maven 3|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/open/article.php/3908561
2010-10-15|Fog Aims to Advance Ruby in the Cloud|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/open/article.php/3908466
2010-10-14|5 Tips for Acing the IBM WebSphere App Server Admin Course|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/mgmt/article.php/3908426
2010-10-13|Taking Apache Tomcat 7 for a Test Drive|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/java/web/article.php/3908256
2010-10-12|IBM WebSphere Offers Java Web Developers Timely Options for Handling Complexity|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/java/web/article.php/3908131
2010-10-11|IBM Joins Oracle in OpenJDK Effort|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/open/article.php/3907801
2010-10-11|The 10 Most Popular DIY Wiki Projects|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/services/article.php/3907726
2010-10-08|Apache Shindig Gets Social|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/open/article.php/3907581
2010-10-08|Tcat Server Improves Tomcat Performance, Supports Tomcat 7|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/java/web/article.php/3907496
2010-10-07|Komodo 6 Brings HTML 5, CSS 3 to the IDE|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/lang/other/article.php/3907331
2010-10-06|Mining Amazon.com Catalog Data with Ruby|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/lang/rubyrails/article.php/3907086
2010-10-06|Building Easy Dashboards with SharePoint|Sharepoint Briefing|Tom Dunlap|0.0|||0.0|http://www.sharepointbriefing.com/features/article.php/3907066
2010-10-05|How Training Got Me from Co-op Student to Java Solution Architect|Developer.com|Glen Kunene|0.0|||0.0|http://www.developer.com/mgmt/article.php/3906871
