Date|Type|Source|30 Day Views|60 Day Views|90 Day Views|120 Day Views|150 Day Views|180 Day Views|210 Day Views|240 Day Views|Lifetime views
2010-05-28|Tutorial/Howto|Freelance|1212.0|76.0|47.0|32.0|34.0|67.0|38.0|19.0|1525.0
2010-05-28|Tutorial/Howto|Contributed|649.0|287.0|120.0|114.0|70.0|60.0|15.0|9.0|1324.0
2010-05-28|Tutorial/Howto|Freelance|765.0|210.0|117.0|102.0|70.0|59.0|31.0|31.0|1385.0
2010-05-27|Tutorial/Howto|Freelance|3375.0|482.0|489.0|493.0|578.0|393.0|500.0|315.0|6625.0
2010-05-27|Tutorial/Howto|Freelance|344.0|175.0|189.0|161.0|146.0|131.0|118.0|71.0|1335.0
2010-05-26|Tutorial/Howto|Editor-Written|21035.0|15605.0|16718.0|17649.0|18577.0|18369.0|18157.0|14678.0|140788.0
2010-05-26|Tutorial/Howto|Freelance|415.0|215.0|208.0|191.0|179.0|192.0|147.0|117.0|1664.0
2010-05-25|Tutorial/Howto|Freelance|2034.0|485.0|382.0|293.0|331.0|395.0|464.0|435.0|4819.0
2010-05-25|Tutorial/Howto|Freelance|2213.0|228.0|80.0|95.0|55.0|88.0|50.0|23.0|2832.0
2010-05-24|Tutorial/Howto|Freelance|2520.0|422.0|257.0|215.0|227.0|232.0|164.0|143.0|4180.0
2010-05-24|Tutorial/Howto|Freelance|2303.0|402.0|292.0|181.0|172.0|151.0|97.0|86.0|3684.0
2010-05-21|Tutorial/Howto|Freelance|3029.0|618.0|511.0|385.0|318.0|318.0|286.0|237.0|5702.0
2010-05-21|Tutorial/Howto|Freelance|2359.0|255.0|239.0|264.0|193.0|196.0|356.0|142.0|4004.0
2010-05-20|Tutorial/Howto|Freelance|154.0|16.0|26.0|6.0|15.0|14.0|19.0|7.0|257.0
2010-05-20|Tutorial/Howto|Freelance|161.0|44.0|51.0|19.0|21.0|16.0|9.0|13.0|334.0
2010-05-20|Tutorial/Howto|Contributed|1483.0|556.0|227.0|139.0|94.0|104.0|59.0|35.0|2697.0
2010-05-20|Tutorial/Howto|Freelance|239.0|32.0|41.0|53.0|72.0|28.0|103.0|13.0|581.0
2010-05-20|Tutorial/Howto|Contributed|538.0|270.0|249.0|204.0|168.0|253.0|292.0|358.0|2332.0
