ID|Vertical|Site|Pub Date|Title|Author|Editor|Content Type|Content Source|Cost|30 Day Views|30 Day BounceRate|60 Day Views|60 Day BounceRate|90 Day Views|90 Day BounceRate|Lifetime Views
1148|Networking|Enterprise Networking Planet|2010-05-28|FCC to Take Up Broadband Reclassification in June|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|255|0.86|7|1.0|0|0.0|266.0
1169|Networking|Enterprise Networking Planet|2010-05-28|Jokes, Jeers in a Look Back at 25 Years of .Com|David Needle|Michael Hall|News|InternetNews|0.0|347|0.88|2|1.0|2|0.0|360.0
1224|Networking|Enterprise Networking Planet|2010-05-27|Ethernet Switch, Router Markets Rebound|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|317|0.85|43|0.82|41|0.88|498.0
1263|Networking|Enterprise Networking Planet|2010-05-26|Meru Introduces Four New Service Assurance Apps|Lisa Phifer|Michael Hall|News|Freelance|300.0|73|0.74|3|1.0|0|0.0|77.0
1310|Networking|Enterprise Networking Planet|2010-05-25|Top FCC Lawyer Looks Ahead to Rocky Road for Broadband Plan|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|215|0.84|8|0.83|3|1.0|236.0
1320|Networking|Enterprise Networking Planet|2010-05-25|Cisco Connected Grid Router, Switch Debut for Smart Grid|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|237|0.86|26|0.83|12|0.78|312.0
1367|Networking|Enterprise Networking Planet|2010-05-24|Apple Security Isn't a Sure Bet|Paul Rubens|Michael Hall|Trends|Freelance|425.0|1838|0.93|35|0.91|43|0.97|2056.0
1418|Networking|Enterprise Networking Planet|2010-05-21|Judge Gives Corrupt ISP the Digital Death Penalty|Larry Barrett|Michael Hall|News|InternetNews|0.0|1516|0.94|6|1.0|5|0.5|1537.0
1472|Networking|Enterprise Networking Planet|2010-05-20|Novell Expands Identity Manager to the Cloud|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|224|0.85|26|0.76|10|1.0|330.0
1524|Networking|Enterprise Networking Planet|2010-05-19|Cisco, CA Partner on Datacenter Management|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|62|0.78|1|1.0|0|0.0|67.0
1577|Networking|Enterprise Networking Planet|2010-05-18|Ten Ways to Protect Your Network From Insider Threats|Paul Rubens|Michael Hall|Top 10|Editor-Written|425.0|417|0.86|67|0.86|88|0.72|870.0
1635|Networking|Enterprise Networking Planet|2010-05-17|Juniper Expands Routing, Switching and Software Portfolio|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|270|0.87|27|0.87|15|0.92|411.0
1731|Networking|Enterprise Networking Planet|2010-05-14|House Lawmakers Press to Expand U.S. Broadband|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|391|0.83|4|1.0|2|1.0|411.0
1752|Networking|Enterprise Networking Planet|2010-05-13|Cisco's Strongest Quarter Ever Built on New Gear|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|348|0.84|13|0.7|10|0.89|389.0
1766|Networking|Enterprise Networking Planet|2010-05-13|NetFlow Gives International Law Firm Network Visibility|Drew Robb|Michael Hall|Trends|Freelance|300.0|110|0.84|31|0.86|21|0.92|218.0
1818|Networking|Enterprise Networking Planet|2010-05-12|Cisco's Third Quarter: Busy and Profitable?|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|265|0.93|4|0.67|1|1.0|273.0
1848|Networking|Enterprise Networking Planet|2010-05-11|House Republican Seeks to Block FCC's Net Neutrality Efforts|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|317|0.88|12|0.71|3|1.0|336.0
1849|Networking|Enterprise Networking Planet|2010-05-11|The IT Security Bubble Has Popped|Sonny Discini|Michael Hall|Opinion|Repurp|0.0|93|0.72|21|0.57|18|0.0|162.0
1897|Networking|Enterprise Networking Planet|2010-05-10|Aruba Acquires Azalea for Wi-Fi Enterprise Mesh|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|286|0.9|10|1.0|9|0.88|327.0
1918|Networking|Enterprise Networking Planet|2010-05-10|Wi-Fi Networking Headed for 60GHz, Gigabit Speeds|Sean Michael Kerner|Michael Hall|Trends|InternetNews|0.0|323|0.85|68|0.79|40|0.92|765.0
1930|Networking|Enterprise Networking Planet|2010-05-10|Unified Communications Demand Thorough Network Testing|No Author|Michael Hall|Trends|Repurp|0.0|43|0.67|19|0.67|8|0.5|72.0
1965|Networking|Enterprise Networking Planet|2010-05-07|First Full IDN Domain Names Now Online|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|746|0.94|15|0.75|18|1.0|820.0
2016|Networking|Enterprise Networking Planet|2010-05-06|Entrepreneurial Ball State Goes WiMAX|Gerry Blackwell|Michael Hall|Trends|Repurp|0.0|173|0.81|4|0.0|0|0.0|180.0
2069|Networking|Enterprise Networking Planet|2010-05-05|Using Third-Party 802.1X Clients  on Windows, Linux or Mac|Eric Geier|Michael Hall|Tutorial/Howto|Freelance|350.0|431|0.85|151|0.91|189|0.9|1930.0
2112|Networking|Enterprise Networking Planet|2010-05-04|Red Hat Prefers to Be Choosy With Its Kernel Packages|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|84|0.86|24|1.0|12|0.67|129.0
2160|Networking|Enterprise Networking Planet|2010-05-03|Three Essential PowerShell 2.0 Remote Management Features|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|300.0|1009|0.8|312|0.74|188|0.77|3812.0
2451|Networking|Enterprise Networking Planet|2010-06-30|Exposing the Pipes at Pump: Managing Networking in a Virtual Environment|Drew Robb|Michael Hall|Trends|Freelance|300.0|199|0.81|50|0.82|11|0.89|305.0
2494|Networking|Enterprise Networking Planet|2010-06-29|Cisco Extends Smart Grid For Both Offices and Homes|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|412|0.88|39|0.85|17|0.93|494.0
2495|Networking|Enterprise Networking Planet|2010-06-29|Aerohive's Free Online Wi-Fi Planner Automates AP Placement|Lisa Phifer|Michael Hall|News|Repurp|0.0|287|0.88|91|0.78|75|0.87|668.0
2557|Networking|Enterprise Networking Planet|2010-06-28|White House Commits to Spectrum for Mobile Broadband|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|205|0.9|16|0.78|7|0.6|248.0
2566|Networking|Enterprise Networking Planet|2010-06-28|ICANN Approves Chinese-Language Domains, .XXX TLD|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|248|0.91|51|0.89|12|0.91|363.0
2602|Networking|Enterprise Networking Planet|2010-06-25|Universities Responding to Obama Call for Improved Cybersecurity|Keith Vance|Michael Hall|Trends|Repurp|0.0|55|0.86|1|1.0|0|0.0|58.0
2651|Networking|Enterprise Networking Planet|2010-06-24|Gartner Confirms Cloud Trend to Tune of $148B by 2014|Larry Barrett|Michael Hall|Trends|Repurp|0.0|209|0.88|23|0.88|18|0.92|385.0
2708|Networking|Enterprise Networking Planet|2010-06-23|Installing and Configuring Windows Essential Business Server|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|350.0|177|0.57|12|0.25|6|0.0|246.0
2764|Networking|Enterprise Networking Planet|2010-06-23|AirWatch Beefs Up iOS Security for the Enterprise|David Needle|Michael Hall|Product Review|InternetNews|0.0|78|0.86|12|0.9|7|0.83|135.0
2820|Networking|Enterprise Networking Planet|2010-06-21|Faster 40 and 100 Gigabit Ethernet Standard Now Real|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|549|0.87|77|0.78|49|0.86|1009.0
2879|Networking|Enterprise Networking Planet|2010-06-18|ISPs Land Hard on FCC for Broadband Move|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|258|0.83|7|1.0|2|1.0|278.0
2917|Networking|Enterprise Networking Planet|2010-06-17|FCC Begins Broadband Regulation Fight|Kenneth Corbin|Michael Hall|News|InternetNews|0.0|306|0.87|23|0.5|7|0.0|356.0
2980|Networking|Enterprise Networking Planet|2010-06-16|IEEE Spec Will Standardize Broadband Over Power Line|Sean Michael Kerner|Michael Hall|News|InternetNews|0.0|700|0.87|97|0.86|35|0.94|935.0
3014|Networking|Enterprise Networking Planet|2010-06-15|Sizing Up Windows Essential Business Server 2008|Jabez Gan|Michael Hall|Tutorial/Howto|Freelance|350.0|219|0.92|28|0.96|24|0.95|419.0
3063|Networking|Enterprise Networking Planet|2010-06-14|SQL Injection and XSS Top Web App Security List|Lisa Phifer|Michael Hall|Trends|Repurp|0.0|132|0.92|10|0.88|9|1.0|211.0
